uri,title,domain,probability,avg_position,rrf_score,run_count,category,intl_flag
https://www.emailvendorselection.com/best-email-marketing-platforms/,emailvendorselection.com,emailvendorselection.com,100.0,1.62,99.0,8,3rd Party: Comparison,
https://www.emailtooltester.com/en/blog/email-automation-software/,emailtooltester.com,emailtooltester.com,100.0,3.5,96.14,8,3rd Party: Comparison,
https://www.saleshandy.com/blog/email-automation-tools/,saleshandy.com,saleshandy.com,100.0,4.0,95.41,8,Other,
https://zapier.com/blog/email-marketing-automation-tools/,zapier.com,zapier.com,100.0,6.0,92.49,8,3rd Party: Comparison,
https://www.sender.net/blog/email-marketing-services/,sender.net,sender.net,87.5,5.86,81.08,7,Other,
https://ventureharbour.com/marketing-automation-software/,ventureharbour.com,ventureharbour.com,50.0,4.5,47.3,4,Other,
https://thecmo.com/tools/best-email-marketing-automation-software/,thecmo.com,thecmo.com,50.0,6.0,46.22,4,Other,
https://mailtrap.io/blog/free-email-marketing-platforms/,mailtrap.io,mailtrap.io,37.5,8.0,33.64,3,Other,
https://www.pcmag.com/picks/the-best-email-marketing-software,pcmag.com,pcmag.com,37.5,4.67,35.43,3,3rd Party: Publication,
https://ventureharbour.com/email-marketing-software-tools-one-best/,ventureharbour.com,ventureharbour.com,37.5,4.0,35.78,3,Other,
https://www.awwtomation.com/blog/key-features-of-email-automation-platform,awwtomation.com,awwtomation.com,12.5,1.0,12.5,1,Other,
https://encharge.io/email-automation-tools/,encharge.io,encharge.io,12.5,2.0,12.3,1,Other,
https://www.salesforce.com/marketing/email/best-email-marketing-platform/,salesforce.com,salesforce.com,12.5,3.0,12.1,1,Other,
https://www.gohighlevel.com/post/top-email-marketing-tool-for-automation,gohighlevel.com,gohighlevel.com,12.5,3.0,12.1,1,Other,
https://elementor.com/blog/best-marketing-automation-software-tools/,elementor.com,elementor.com,12.5,4.0,11.91,1,Other,
https://www.zdnet.com/article/best-email-marketing-software/,zdnet.com,zdnet.com,12.5,7.0,11.38,1,3rd Party: Publication,
https://mailbluster.com/blog/email-marketing-features,mailbluster.com,mailbluster.com,12.5,9.0,11.05,1,Other,
