uri,title,domain,probability,avg_position,rrf_score,run_count,category,intl_flag
https://www.uschamber.com/co/grow/marketing/marketing-automation-tools-defined,uschamber.com,uschamber.com,100.0,3.62,95.9,8,Other,
https://insiderone.com/best-marketing-automation-tools-smbs-enterprises/,insiderone.com,insiderone.com,100.0,6.88,91.25,8,Other,
https://leadsbridge.com/blog/marketing-automation-for-small-business/,leadsbridge.com,leadsbridge.com,100.0,6.88,91.5,8,Other,
https://www.paystone.com/resources/4-benefits-of-marketing-automation-for-small-business-paystone,paystone.com,paystone.com,87.5,1.14,87.3,7,Other,
https://ventureharbour.com/marketing-automation-software/,ventureharbour.com,ventureharbour.com,87.5,8.43,78.07,7,Other,
https://www.seedprod.com/best-marketing-automation-tools/,seedprod.com,seedprod.com,75.0,9.17,66.22,6,Other,
https://www.decidr.ai/blog/seven-benefits-of-marketing-automation-for-small-businesses,decidr.ai,decidr.ai,62.5,3.0,60.53,5,Other,
https://www.emailvendorselection.com/crm-with-marketing-automation/,emailvendorselection.com,emailvendorselection.com,62.5,8.8,55.43,5,3rd Party: Comparison,
https://zapier.com/blog/best-marketing-automation-software/,zapier.com,zapier.com,62.5,10.2,54.32,5,3rd Party: Comparison,
https://www.salesforce.com/marketing/automation/benefits/,salesforce.com,salesforce.com,37.5,3.33,36.13,3,Other,
https://ritzmarketingsolutions.com/5-marketing-automation-workflows-for-small-business-free-playbooks/,ritzmarketingsolutions.com,ritzmarketingsolutions.com,37.5,10.67,32.4,3,Other,
https://maropost.com/blog/6-key-steps-to-building-a-marketing-automation-strategy/,maropost.com,maropost.com,37.5,11.0,32.27,3,Other,
https://thecmo.com/tools/best-marketing-automation-software-for-small-business/,thecmo.com,thecmo.com,37.5,11.67,31.93,3,Other,
https://www.salesforce.com/small-business/marketing/,salesforce.com,salesforce.com,25.0,9.5,22.0,2,Other,
https://www.trellus.ai/post/small-business-automation-tools,trellus.ai,trellus.ai,25.0,11.5,21.34,2,Other,
https://thecmo.com/tools/small-business-marketing-software/,thecmo.com,thecmo.com,25.0,10.5,21.64,2,Other,
https://www.decidr.ai/us/blog/seven-benefits-of-marketing-automation-for-small-businesses,decidr.ai,decidr.ai,25.0,4.0,23.83,2,Other,
https://keap.com/small-business-automation-blog/marketing/automation/9-marketing-automation-benefits-that-could-help-your-business,keap.com,keap.com,25.0,5.0,23.47,2,Other,
https://numerous.ai/blog/benefits-of-marketing-automation,numerous.ai,numerous.ai,25.0,2.5,24.4,2,Other,
https://www.g2.com/categories/marketing-automation/small-business,g2.com,g2.com,12.5,8.0,11.21,1,3rd Party: Review Site,
https://www.jdrgroup.co.uk/blog/comparing-marketing-automation-tools,jdrgroup.co.uk,jdrgroup.co.uk,12.5,13.0,10.45,1,Other,⚠️ co.uk (CO.UK)
https://www.streak.com/post/marketing-automation-small-business,streak.com,streak.com,12.5,11.0,10.74,1,Other,
https://www.activecampaign.com/,activecampaign.com,activecampaign.com,12.5,11.0,10.74,1,AC: Main Domain,
https://www.youtube.com/watch?v=zw-nBnWbQD4,youtube.com,youtube.com,12.5,10.0,10.89,1,3rd Party: YouTube,
https://www.thryv.com/blog/simple-all-in-one-marketing-platforms/,thryv.com,thryv.com,12.5,9.0,11.05,1,Other,
https://ventureharbour.com/5-steps-to-transforming-your-business-with-automation/,ventureharbour.com,ventureharbour.com,12.5,9.0,11.05,1,Other,
https://ifttt.com/explore/marketing-automation-tools-small-business,ifttt.com,ifttt.com,12.5,9.0,11.05,1,Other,
https://www.act.com/blog/how-to-choose-the-best-marketing-automation-software/,act.com,act.com,12.5,8.0,11.21,1,Other,
https://www.blaze.ai/blog/marketing-automation-small-business,blaze.ai,blaze.ai,12.5,1.0,12.5,1,Other,
https://www.munro.agency/marketing-automation-software/,munro.agency,munro.agency,12.5,8.0,11.21,1,Other,
https://www.2pointagency.com/glossary/which-marketing-automation-tool-is-best-for-small-business/,2pointagency.com,2pointagency.com,12.5,7.0,11.38,1,Other,
https://www.agilecrm.com/marketing-automation/why-is-small-business-marketing-automation-important,agilecrm.com,agilecrm.com,12.5,5.0,11.73,1,Other,
https://squareup.com/us/en/the-bottom-line/reaching-customers/5-marketing-automation-examples-for-small-businesses-2,squareup.com,squareup.com,12.5,5.0,11.73,1,Other,
https://www.lumi.com.au/blog/5-benefits-of-automation-for-small-business/,lumi.com.au,lumi.com.au,12.5,3.0,12.1,1,Other,⚠️ com.au (COM.AU)
https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQFR2aCHQCypdJpMk2_dXRccYc-Ccxx7zX901b-mrNuapK-TMctLTaa554VG5MinsPUee20PmwXEdG73XB4DqaVNajWykRFMmeDxHxG48v8E22FCj_FQmu6SGckogaeYBt-OJxGjYJz9QeY5TPlAyfzTFTRtQ-ur_UPYnUzwrChhRY0=,enrichlabs.ai,vertexaisearch.cloud.google.com,12.5,3.0,12.1,1,Other,
https://www.cumberland.college/blog/benefits-of-marketing-automation-tools-for-small-businesses/,cumberland.college,cumberland.college,12.5,2.0,12.3,1,Other,
https://krakensalesfunnels.com/reasons-small-businesses-need-marketing-automation/,krakensalesfunnels.com,krakensalesfunnels.com,12.5,2.0,12.3,1,Other,
https://www.drip.com/,drip.com,drip.com,12.5,14.0,10.3,1,Competitor,
