uri,title,domain,probability,avg_position,rrf_score,run_count,category,intl_flag
https://www.alumio.com/blog/e-commerce-email-automation-benefits-how-it-works,alumio.com,alumio.com,100.0,2.12,98.23,8,Other,
https://www.saleshandy.com/blog/email-automation-tools/,saleshandy.com,saleshandy.com,75.0,12.33,63.33,6,Other,
https://www.linkmobility.com/blog/how-to-use-email-automation-to-grow-your-ecommerce-business,linkmobility.com,linkmobility.com,75.0,1.83,74.03,6,Other,
https://www.klaviyo.com/blog/top-email-automation-examples,klaviyo.com,klaviyo.com,75.0,6.5,68.84,6,Competitor,
https://ecommerceboost.io/blog/10-reasons-email-automation-for-ecommerce-businesses-is-a-must-have-strategy/,ecommerceboost.io,ecommerceboost.io,62.5,2.2,61.3,5,Other,
https://www.bigcommerce.com/articles/ecommerce/ecommerce-email-marketing/,bigcommerce.com,bigcommerce.com,62.5,6.0,57.84,5,Other,
https://zapier.com/blog/email-marketing-automation-tools/,zapier.com,zapier.com,62.5,12.2,52.82,5,3rd Party: Comparison,
https://www.emailtooltester.com/en/blog/best-email-marketing-for-ecommerce/,emailtooltester.com,emailtooltester.com,62.5,12.8,52.39,5,3rd Party: Comparison,
https://www.brevo.com/blog/email-automation-software/,brevo.com,brevo.com,62.5,13.8,51.72,5,Competitor,
https://www.emailvendorselection.com/ecommerce-email-marketing-software/,emailvendorselection.com,emailvendorselection.com,50.0,11.25,42.88,4,3rd Party: Comparison,
https://maropost.com/blog/best-email-marketing-platforms-ecommerce,maropost.com,maropost.com,50.0,10.5,43.26,4,Other,
https://www.salesforce.com/marketing/email/ecommerce-email-marketing/,salesforce.com,salesforce.com,50.0,8.5,44.54,4,Other,
https://www.gorgias.com/blog/ecommerce-email-marketing-automation,gorgias.com,gorgias.com,50.0,5.0,46.95,4,Other,
https://www.klaviyo.com/solutions/marketing-automation/email-marketing,klaviyo.com,klaviyo.com,50.0,4.5,47.31,4,Competitor,
https://redlineminds.com/1795/must-have-email-automation-flows-for-ecommerce/,redlineminds.com,redlineminds.com,50.0,7.25,45.4,4,Other,
https://mailchimp.com/resources/ecommerce-email-automation/,mailchimp.com,mailchimp.com,37.5,4.33,35.58,3,Competitor,
https://www.mailerlite.com/blog/ecommerce-email-marketing-automation,mailerlite.com,mailerlite.com,37.5,7.67,33.84,3,Competitor,
https://www.emailtooltester.com/en/blog/ecommerce-marketing-automation-software/,emailtooltester.com,emailtooltester.com,37.5,10.67,32.38,3,3rd Party: Comparison,
https://flowium.com/blog/email-automation/,flowium.com,flowium.com,25.0,8.5,22.29,2,Other,
https://checkoutlinks.com/blog/email-marketing-automation-best-practices,checkoutlinks.com,checkoutlinks.com,25.0,14.0,20.61,2,Other,
https://insiderone.com/automated-email-workflow-examples-best-practices/,insiderone.com,insiderone.com,25.0,10.5,21.64,2,Other,
https://www.panoramata.co/benchmark-marketing/10-effective-ecommerce-email-marketing-automation-flows,panoramata.co,panoramata.co,25.0,9.0,22.18,2,Other,
