entity,probability,avg_position,rrf_score,run_count,sentiment
ActiveCampaign,100.0,1.0,100.0,8,positive
Klaviyo,100.0,5.88,92.77,8,positive
Choose Klaviyo,37.5,2.0,36.9,3,neutral
Core Focus,37.5,2.67,36.5,3,positive
Market Focus,37.5,7.0,34.15,3,positive
Automation Depth,25.0,2.5,24.4,2,positive
Core Platform,25.0,3.5,24.02,2,positive
Data Model,25.0,5.5,23.28,2,neutral
Key Differences Summarized,25.0,6.5,22.96,2,neutral
Key Differences,25.0,6.5,22.94,2,positive
Key Features,25.0,7.0,22.84,2,positive
Marketing Agent,25.0,7.0,22.78,2,neutral
Who Should Choose Which,25.0,7.0,22.76,2,positive
Smart Send Time,25.0,7.5,22.6,2,neutral
Target Audience,25.0,15.0,20.42,2,positive
Core Functionality,12.5,2.0,12.3,1,positive
Advanced Automation,12.5,2.0,12.3,1,positive
Automation Complexity,12.5,2.0,12.3,1,positive
Choose Which,12.5,3.0,12.1,1,positive
Best For,12.5,3.0,12.1,1,positive
Broad Integrations,12.5,4.0,11.91,1,neutral
Detailed Comparison,12.5,4.0,11.91,1,positive
Core Strength,12.5,4.0,11.91,1,neutral
Customer Agent,12.5,5.0,11.73,1,neutral
Target Market,12.5,6.0,11.55,1,neutral
Driven Segmentation,12.5,6.0,11.55,1,positive
Integrated Email,12.5,7.0,11.38,1,neutral
Predictive Analytics,12.5,8.0,11.21,1,neutral
Key Feature,12.5,10.0,10.89,1,positive
Use Cases,12.5,11.0,10.74,1,neutral
Key Strengths,12.5,12.0,10.59,1,positive
Landing Pages,12.5,14.0,10.3,1,positive
Lifecycle Flows,12.5,15.0,10.17,1,positive
Omnichannel Capabilities,12.5,16.0,10.03,1,neutral
Omnichannel Marketing,12.5,17.0,9.9,1,positive
Powered Features,12.5,18.0,9.78,1,neutral
Primary Focus,12.5,19.0,9.65,1,positive
Unified Email,12.5,21.0,9.41,1,neutral
